Gmt time,Open,High,Low,Close,Volume
01.05.2023 00:00:00.000,1.10106,1.10143,1.10045,1.10055,8127140136.7188
01.05.2023 01:00:00.000,1.10055,1.10084,1.10020,1.10040,7000589843.75
01.05.2023 02:00:00.000,1.10037,1.10081,1.10007,1.10081,3727649902.3438
01.05.2023 03:00:00.000,1.10081,1.10140,1.10053,1.10140,4344200195.3125
01.05.2023 04:00:00.000,1.10143,1.10143,1.10032,1.10062,4607459960.9375
01.05.2023 05:00:00.000,1.10063,1.10087,1.10008,1.10059,6679839843.75
01.05.2023 06:00:00.000,1.10060,1.10064,1.09947,1.09977,11011440429.6875
01.05.2023 07:00:00.000,1.09978,1.10057,1.09963,1.10033,13518379882.8125
01.05.2023 08:00:00.000,1.10033,1.10033,1.09914,1.09921,10170519531.25
01.05.2023 09:00:00.000,1.09921,1.10044,1.09882,1.10031,6407479980.4688
01.05.2023 10:00:00.000,1.10029,1.10095,1.09996,1.10088,8752809570.3125
01.05.2023 11:00:00.000,1.10091,1.10140,1.10063,1.10133,9888870117.1875
01.05.2023 12:00:00.000,1.10134,1.10335,1.10077,1.10327,23996570312.5
01.05.2023 13:00:00.000,1.10328,1.10355,1.10180,1.10187,22107570312.5
01.05.2023 14:00:00.000,1.10186,1.10186,1.09778,1.09815,37227308593.75
01.05.2023 15:00:00.000,1.09814,1.09820,1.09661,1.09692,19934750000
01.05.2023 16:00:00.000,1.09692,1.09714,1.09643,1.09675,10923080078.125
01.05.2023 17:00:00.000,1.09674,1.09720,1.09653,1.09719,7923799804.6875
01.05.2023 18:00:00.000,1.09718,1.09756,1.09687,1.09694,9807269531.25
01.05.2023 19:00:00.000,1.09694,1.09733,1.09657,1.09727,9060780273.4375
01.05.2023 20:00:00.000,1.09727,1.09766,1.09713,1.09741,4640290039.0625
01.05.2023 21:00:00.000,1.09741,1.09757,1.09721,1.09753,544950012.207
01.05.2023 22:00:00.000,1.09752,1.09760,1.09733,1.09739,1723630004.8828
01.05.2023 23:00:00.000,1.09739,1.09742,1.09672,1.09687,3645070068.3594
02.05.2023 00:00:00.000,1.09687,1.09791,1.09685,1.09789,7278209960.9375
02.05.2023 01:00:00.000,1.09788,1.09943,1.09785,1.09880,12445969726.5625
02.05.2023 02:00:00.000,1.09883,1.09913,1.09860,1.09885,6977560058.5938
02.05.2023 03:00:00.000,1.09885,1.09886,1.09833,1.09839,6542580078.125
02.05.2023 04:00:00.000,1.09840,1.09890,1.09790,1.09845,13010349609.375
02.05.2023 05:00:00.000,1.09844,1.09927,1.09832,1.09834,13748730468.75
02.05.2023 06:00:00.000,1.09834,1.09946,1.09830,1.09914,11911169921.875
02.05.2023 07:00:00.000,1.09915,1.10066,1.09823,1.09855,26323939453.125
02.05.2023 08:00:00.000,1.09855,1.09865,1.09598,1.09718,28572810546.875
02.05.2023 09:00:00.000,1.09717,1.09817,1.09492,1.09526,23158259765.625
02.05.2023 10:00:00.000,1.09526,1.09600,1.09480,1.09569,13914440429.6875
02.05.2023 11:00:00.000,1.09569,1.09761,1.09568,1.09676,16530929687.5
02.05.2023 12:00:00.000,1.09676,1.09705,1.09541,1.09552,19701730468.75
02.05.2023 13:00:00.000,1.09552,1.09591,1.09422,1.09434,26428089843.75
02.05.2023 14:00:00.000,1.09432,1.09930,1.09431,1.09792,50037468750
02.05.2023 15:00:00.000,1.09790,1.09975,1.09776,1.09965,29384500000
02.05.2023 16:00:00.000,1.09964,1.10030,1.09940,1.09998,14584530273.4375
02.05.2023 17:00:00.000,1.09998,1.10035,1.09946,1.09972,8016430175.7813
02.05.2023 18:00:00.000,1.09974,1.10016,1.09971,1.10011,7538399902.3438
02.05.2023 19:00:00.000,1.10012,1.10078,1.10003,1.10057,6869580078.125
02.05.2023 20:00:00.000,1.10057,1.10068,1.09975,1.09989,2207939941.4063
02.05.2023 21:00:00.000,1.09989,1.10025,1.09989,1.10003,523289978.0273
02.05.2023 22:00:00.000,1.10013,1.10063,1.10003,1.10063,3363939941.4063
02.05.2023 23:00:00.000,1.10063,1.10137,1.10048,1.10107,5423000000
03.05.2023 00:00:00.000,1.10110,1.10204,1.10048,1.10172,6465270019.5313
03.05.2023 01:00:00.000,1.10173,1.10240,1.10128,1.10227,6674609863.2813
03.05.2023 02:00:00.000,1.10228,1.10258,1.10197,1.10253,6070990234.375
03.05.2023 03:00:00.000,1.10252,1.10297,1.10251,1.10294,4622790039.0625
03.05.2023 04:00:00.000,1.10294,1.10294,1.10212,1.10216,6789930175.7813
03.05.2023 05:00:00.000,1.10217,1.10263,1.10182,1.10200,8777410156.25
03.05.2023 06:00:00.000,1.10199,1.10317,1.10142,1.10306,12161400390.625
03.05.2023 07:00:00.000,1.10303,1.10411,1.10259,1.10343,20142039062.5
03.05.2023 08:00:00.000,1.10344,1.10468,1.10343,1.10395,18806519531.25
03.05.2023 09:00:00.000,1.10395,1.10468,1.10365,1.10403,13857860351.5625
03.05.2023 10:00:00.000,1.10403,1.10404,1.10296,1.10328,14773690429.6875
03.05.2023 11:00:00.000,1.10329,1.10436,1.10319,1.10395,13604929687.5
03.05.2023 12:00:00.000,1.10396,1.10435,1.10220,1.10384,26211380859.375
03.05.2023 13:00:00.000,1.10384,1.10434,1.10295,1.10316,27314380859.375
03.05.2023 14:00:00.000,1.10316,1.10593,1.10316,1.10527,26598269531.25
03.05.2023 15:00:00.000,1.10526,1.10585,1.10478,1.10478,19665380859.375
03.05.2023 16:00:00.000,1.10478,1.10528,1.10445,1.10468,9650250000
03.05.2023 17:00:00.000,1.10467,1.10529,1.10416,1.10491,10035830078.125
03.05.2023 18:00:00.000,1.10492,1.10916,1.10371,1.10599,76873140625
03.05.2023 19:00:00.000,1.10600,1.10636,1.10404,1.10544,49688078125
03.05.2023 20:00:00.000,1.10544,1.10627,1.10515,1.10599,4978640136.7188
03.05.2023 21:00:00.000,1.10599,1.10660,1.10590,1.10609,1188040039.0625
03.05.2023 22:00:00.000,1.10609,1.10780,1.10607,1.10679,14463110351.5625
03.05.2023 23:00:00.000,1.10677,1.10727,1.10640,1.10685,7134689941.4063
04.05.2023 00:00:00.000,1.10686,1.10872,1.10686,1.10757,13220959960.9375
04.05.2023 01:00:00.000,1.10758,1.10841,1.10713,1.10814,15571740234.375
04.05.2023 02:00:00.000,1.10816,1.10875,1.10803,1.10840,11647980468.75
04.05.2023 03:00:00.000,1.10841,1.10858,1.10802,1.10812,7110589843.75
04.05.2023 04:00:00.000,1.10812,1.10873,1.10794,1.10814,7354310058.5938
04.05.2023 05:00:00.000,1.10814,1.10878,1.10798,1.10839,9493500000
04.05.2023 06:00:00.000,1.10841,1.10917,1.10727,1.10753,23253220703.125
04.05.2023 07:00:00.000,1.10754,1.10767,1.10521,1.10578,29310320312.5
04.05.2023 08:00:00.000,1.10578,1.10579,1.10369,1.10404,18946439453.125
04.05.2023 09:00:00.000,1.10403,1.10560,1.10364,1.10549,17392539062.5
04.05.2023 10:00:00.000,1.10549,1.10632,1.10490,1.10605,18691650390.625
04.05.2023 11:00:00.000,1.10604,1.10765,1.10601,1.10743,15856500000
04.05.2023 12:00:00.000,1.10743,1.10842,1.10013,1.10093,59707269531.25
04.05.2023 13:00:00.000,1.10092,1.10552,1.10026,1.10238,53450730468.75
04.05.2023 14:00:00.000,1.10240,1.10382,1.09860,1.10008,51863589843.75
04.05.2023 15:00:00.000,1.10007,1.10137,1.09952,1.10082,34364511718.75
04.05.2023 16:00:00.000,1.10083,1.10304,1.10079,1.10246,21672419921.875
04.05.2023 17:00:00.000,1.10248,1.10315,1.10204,1.10216,14358099609.375
04.05.2023 18:00:00.000,1.10215,1.10225,1.10112,1.10158,9401209960.9375
04.05.2023 19:00:00.000,1.10157,1.10199,1.10134,1.10146,7085490234.375
04.05.2023 20:00:00.000,1.10145,1.10154,1.10100,1.10120,3770469970.7031
04.05.2023 21:00:00.000,1.10120,1.10141,1.10113,1.10128,394970001.2207
04.05.2023 22:00:00.000,1.10128,1.10212,1.10095,1.10211,3708889892.5781
04.05.2023 23:00:00.000,1.10211,1.10244,1.10192,1.10229,4105200195.3125
05.05.2023 00:00:00.000,1.10229,1.10295,1.10188,1.10248,5826290039.0625
05.05.2023 01:00:00.000,1.10252,1.10371,1.10252,1.10354,8260030273.4375
05.05.2023 02:00:00.000,1.10354,1.10372,1.10273,1.10311,7535379882.8125
05.05.2023 03:00:00.000,1.10311,1.10444,1.10310,1.10439,8006600097.6563
05.05.2023 04:00:00.000,1.10441,1.10449,1.10404,1.10417,4878149902.3438
05.05.2023 05:00:00.000,1.10417,1.10463,1.10379,1.10398,11251849609.375
05.05.2023 06:00:00.000,1.10398,1.10468,1.10299,1.10452,16850029296.875
05.05.2023 07:00:00.000,1.10453,1.10477,1.10256,1.10267,23570109375
05.05.2023 08:00:00.000,1.10268,1.10316,1.10240,1.10281,16947519531.25
05.05.2023 09:00:00.000,1.10281,1.10319,1.10220,1.10272,12273469726.5625
05.05.2023 10:00:00.000,1.10273,1.10309,1.10213,1.10247,10827910156.25
05.05.2023 11:00:00.000,1.10249,1.10258,1.10085,1.10093,12803879882.8125
05.05.2023 12:00:00.000,1.10092,1.10185,1.09667,1.09759,44100640625
05.05.2023 13:00:00.000,1.09762,1.09960,1.09760,1.09911,43987351562.5
05.05.2023 14:00:00.000,1.09912,1.10079,1.09853,1.10069,27548759765.625
