Gmt time,Open,High,Low,Close,Volume
01.05.2023 00:00:00.000,1.10106,1.10355,1.09643,1.09687,245771453125
02.05.2023 00:00:00.000,1.09687,1.10137,1.09422,1.10107,354493843750
03.05.2023 00:00:00.000,1.10110,1.10916,1.10048,1.10685,406548625000
04.05.2023 00:00:00.000,1.10686,1.10917,1.09860,1.10229,451732593750
05.05.2023 00:00:00.000,1.10229,1.10477,1.09667,1.10162,331816437500
07.05.2023 00:00:00.000,1.10209,1.10228,1.10141,1.10181,11067469726.5625
08.05.2023 00:00:00.000,1.10182,1.10535,1.09953,1.09965,248384265625
09.05.2023 00:00:00.000,1.09962,1.10007,1.09410,1.09645,276978906250
10.05.2023 00:00:00.000,1.09644,1.10068,1.09414,1.09824,322000312500
11.05.2023 00:00:00.000,1.09826,1.09981,1.09000,1.09122,366860156250
12.05.2023 00:00:00.000,1.09122,1.09354,1.08476,1.08477,269783343750
14.05.2023 00:00:00.000,1.08610,1.08618,1.08453,1.08527,7661459960.9375
15.05.2023 00:00:00.000,1.08526,1.08908,1.08480,1.08735,266445812500
16.05.2023 00:00:00.000,1.08736,1.09046,1.08550,1.08653,328214000000
17.05.2023 00:00:00.000,1.08653,1.08736,1.08102,1.08378,327769937500
18.05.2023 00:00:00.000,1.08377,1.08479,1.07624,1.07749,315434656250
19.05.2023 00:00:00.000,1.07749,1.08287,1.07600,1.08019,358651875000
21.05.2023 00:00:00.000,1.08043,1.08241,1.08043,1.08218,8384089843.75
22.05.2023 00:00:00.000,1.08219,1.08313,1.07955,1.08104,337025500000
23.05.2023 00:00:00.000,1.08105,1.08204,1.07601,1.07691,330235062500
24.05.2023 00:00:00.000,1.07690,1.08012,1.07421,1.07555,385449875000
25.05.2023 00:00:00.000,1.07556,1.07556,1.07073,1.07234,357658468750
26.05.2023 00:00:00.000,1.07233,1.07585,1.07018,1.07227,330324468750
28.05.2023 00:00:00.000,1.07201,1.07292,1.07158,1.07214,11618830078.125
29.05.2023 00:00:00.000,1.07214,1.07434,1.07054,1.07067,140625718750
30.05.2023 00:00:00.000,1.07067,1.07465,1.06725,1.07316,333132281250
31.05.2023 00:00:00.000,1.07316,1.07356,1.06352,1.06933,330368625000
01.06.2023 00:00:00.000,1.06934,1.07684,1.06617,1.07604,336325031250
02.06.2023 00:00:00.000,1.07603,1.07789,1.07050,1.07063,292329093750
04.06.2023 00:00:00.000,1.07098,1.07107,1.06937,1.06967,12345900390.625
05.06.2023 00:00:00.000,1.06970,1.07224,1.06744,1.07113,254750281250
06.06.2023 00:00:00.000,1.07112,1.07328,1.06669,1.06984,241590156250
07.06.2023 00:00:00.000,1.06985,1.07396,1.06682,1.07069,250364953125
08.06.2023 00:00:00.000,1.07070,1.07869,1.07009,1.07818,255503281250
09.06.2023 00:00:00.000,1.07819,1.07850,1.07428,1.07456,223916562500
11.06.2023 00:00:00.000,1.07459,1.07515,1.07431,1.07499,6871169921.875
12.06.2023 00:00:00.000,1.07499,1.07900,1.07330,1.07622,261315703125
13.06.2023 00:00:00.000,1.07621,1.08234,1.07591,1.07895,300967281250
14.06.2023 00:00:00.000,1.07896,1.08640,1.07739,1.08427,306830875000
15.06.2023 00:00:00.000,1.08427,1.09525,1.08036,1.09455,317371687500
16.06.2023 00:00:00.000,1.09455,1.09704,1.09178,1.09376,291957187500
18.06.2023 00:00:00.000,1.09302,1.09429,1.09301,1.09397,7841859863.2813
19.06.2023 00:00:00.000,1.09398,1.09462,1.09070,1.09235,197192781250
20.06.2023 00:00:00.000,1.09234,1.09461,1.08921,1.09198,343024156250
21.06.2023 00:00:00.000,1.09197,1.09923,1.09058,1.09915,352557218750
22.06.2023 00:00:00.000,1.09916,1.10122,1.09485,1.09554,332281500000
23.06.2023 00:00:00.000,1.09555,1.09585,1.08443,1.08905,340811468750
25.06.2023 00:00:00.000,1.09042,1.09070,1.08978,1.09062,15091849609.375
26.06.2023 00:00:00.000,1.09064,1.09200,1.08873,1.09099,265861968750
27.06.2023 00:00:00.000,1.09097,1.09766,1.09021,1.09575,333943968750
28.06.2023 00:00:00.000,1.09574,1.09621,1.08968,1.09151,345603687500
29.06.2023 00:00:00.000,1.09151,1.09414,1.08601,1.08673,345963062500
30.06.2023 00:00:00.000,1.08673,1.09317,1.08352,1.09095,361727718750
02.07.2023 00:00:00.000,1.09094,1.09130,1.09064,1.09075,8639250000
03.07.2023 00:00:00.000,1.09075,1.09339,1.08702,1.09128,282266218750
04.07.2023 00:00:00.000,1.09127,1.09163,1.08768,1.08824,164440125000
05.07.2023 00:00:00.000,1.08827,1.09078,1.08509,1.08551,288019593750
06.07.2023 00:00:00.000,1.08554,1.09006,1.08337,1.08896,399617500000
07.07.2023 00:00:00.000,1.08895,1.09731,1.08669,1.09646,357005656250
09.07.2023 00:00:00.000,1.09593,1.09697,1.09563,1.09669,12034099609.375
10.07.2023 00:00:00.000,1.09670,1.10058,1.09434,1.10052,306352906250
11.07.2023 00:00:00.000,1.10053,1.10269,1.09768,1.10136,304282187500
12.07.2023 00:00:00.000,1.10137,1.11405,1.10119,1.11405,368371031250
13.07.2023 00:00:00.000,1.11406,1.12296,1.11298,1.12234,356645937500
14.07.2023 00:00:00.000,1.12235,1.12448,1.12041,1.12235,334041750000
16.07.2023 00:00:00.000,1.12284,1.12340,1.12232,1.12273,9704019531.25
17.07.2023 00:00:00.000,1.12271,1.12487,1.12033,1.12373,216791093750
18.07.2023 00:00:00.000,1.12374,1.12756,1.12089,1.12281,349562375000
19.07.2023 00:00:00.000,1.12282,1.12400,1.11742,1.12049,334472531250
20.07.2023 00:00:00.000,1.12048,1.12291,1.11184,1.11344,312279437500
21.07.2023 00:00:00.000,1.11345,1.11449,1.11079,1.11244,266379375000
23.07.2023 00:00:00.000,1.11197,1.11321,1.11197,1.11243,6832939941.4063
24.07.2023 00:00:00.000,1.11244,1.11469,1.10597,1.10630,328370875000
25.07.2023 00:00:00.000,1.10630,1.10868,1.10207,1.10499,305316968750
26.07.2023 00:00:00.000,1.10500,1.11066,1.10377,1.10779,358697375000
27.07.2023 00:00:00.000,1.10778,1.11496,1.09658,1.09781,479071781250
28.07.2023 00:00:00.000,1.09780,1.10475,1.09435,1.10125,430192062500
30.07.2023 00:00:00.000,1.10206,1.10282,1.10095,1.10238,8122859863.2813
31.07.2023 00:00:00.000,1.10239,1.10458,1.09931,1.09966,302688875000
01.08.2023 00:00:00.000,1.09967,1.10192,1.09523,1.10075,308942343750
02.08.2023 00:00:00.000,1.10078,1.10080,1.09178,1.09435,372278656250
03.08.2023 00:00:00.000,1.09433,1.09628,1.09122,1.09510,397523656250
04.08.2023 00:00:00.000,1.09509,1.10419,1.09349,1.10029,349194531250
06.08.2023 00:00:00.000,1.10141,1.10151,1.10010,1.10024,12282990234.375
07.08.2023 00:00:00.000,1.10024,1.10117,1.09654,1.10026,229154296875
08.08.2023 00:00:00.000,1.10026,1.10111,1.09290,1.09592,308568718750
09.08.2023 00:00:00.000,1.09592,1.09953,1.09552,1.09771,275670625000
10.08.2023 00:00:00.000,1.09771,1.10650,1.09673,1.09815,358179687500
11.08.2023 00:00:00.000,1.09815,1.10049,1.09429,1.09433,295037156250
13.08.2023 00:00:00.000,1.09493,1.09517,1.09401,1.09432,6858709960.9375
14.08.2023 00:00:00.000,1.09431,1.09600,1.08747,1.09077,301227468750
15.08.2023 00:00:00.000,1.09076,1.09524,1.08969,1.09038,338767468750
16.08.2023 00:00:00.000,1.09038,1.09345,1.08714,1.08743,306112406250
17.08.2023 00:00:00.000,1.08744,1.09180,1.08563,1.08743,247696406250
18.08.2023 00:00:00.000,1.08742,1.08938,1.08450,1.08678,281368687500
20.08.2023 00:00:00.000,1.08672,1.08785,1.08664,1.08749,7350950195.3125
21.08.2023 00:00:00.000,1.08747,1.09136,1.08695,1.08975,246257703125
22.08.2023 00:00:00.000,1.08974,1.09303,1.08329,1.08464,238743453125
23.08.2023 00:00:00.000,1.08465,1.08713,1.08025,1.08654,302015500000
24.08.2023 00:00:00.000,1.08655,1.08764,1.07928,1.07990,259027000000
25.08.2023 00:00:00.000,1.07989,1.08417,1.07658,1.07906,279186687500
27.08.2023 00:00:00.000,1.07957,1.08010,1.07933,1.07968,8922969726.5625
