Gmt time,Open,High,Low,Close,Volume
01.05.2023 00:00:00.000,1.10106,1.10143,1.10045,1.10055,8127.1401
01.05.2023 01:00:00.000,1.10055,1.10084,1.10020,1.10040,7000.5898
01.05.2023 02:00:00.000,1.10037,1.10081,1.10007,1.10081,3727.6499
01.05.2023 03:00:00.000,1.10081,1.10140,1.10053,1.10140,4344.2002
01.05.2023 04:00:00.000,1.10143,1.10143,1.10032,1.10062,4607.46
01.05.2023 05:00:00.000,1.10063,1.10087,1.10008,1.10059,6679.8398
01.05.2023 06:00:00.000,1.10060,1.10064,1.09947,1.09977,11011.4404
01.05.2023 07:00:00.000,1.09978,1.10057,1.09963,1.10033,13518.3799
01.05.2023 08:00:00.000,1.10033,1.10033,1.09914,1.09921,10170.5195
01.05.2023 09:00:00.000,1.09921,1.10044,1.09882,1.10031,6407.48
01.05.2023 10:00:00.000,1.10029,1.10095,1.09996,1.10088,8752.8096
01.05.2023 11:00:00.000,1.10091,1.10140,1.10063,1.10133,9888.8701
01.05.2023 12:00:00.000,1.10134,1.10335,1.10077,1.10327,23996.5703
01.05.2023 13:00:00.000,1.10328,1.10355,1.10180,1.10187,22107.5703
01.05.2023 14:00:00.000,1.10186,1.10186,1.09778,1.09815,37227.3086
01.05.2023 15:00:00.000,1.09814,1.09820,1.09661,1.09692,19934.75
01.05.2023 16:00:00.000,1.09692,1.09714,1.09643,1.09675,10923.0801
01.05.2023 17:00:00.000,1.09674,1.09720,1.09653,1.09719,7923.7998
01.05.2023 18:00:00.000,1.09718,1.09756,1.09687,1.09694,9807.2695
01.05.2023 19:00:00.000,1.09694,1.09733,1.09657,1.09727,9060.7803
01.05.2023 20:00:00.000,1.09727,1.09766,1.09713,1.09741,4640.29
01.05.2023 21:00:00.000,1.09741,1.09757,1.09721,1.09753,544.95
01.05.2023 22:00:00.000,1.09752,1.09760,1.09733,1.09739,1723.63
01.05.2023 23:00:00.000,1.09739,1.09742,1.09672,1.09687,3645.0701
02.05.2023 00:00:00.000,1.09687,1.09791,1.09685,1.09789,7278.21
02.05.2023 01:00:00.000,1.09788,1.09943,1.09785,1.09880,12445.9697
02.05.2023 02:00:00.000,1.09883,1.09913,1.09860,1.09885,6977.5601
02.05.2023 03:00:00.000,1.09885,1.09886,1.09833,1.09839,6542.5801
02.05.2023 04:00:00.000,1.09840,1.09890,1.09790,1.09845,13010.3496
02.05.2023 05:00:00.000,1.09844,1.09927,1.09832,1.09834,13748.7305
02.05.2023 06:00:00.000,1.09834,1.09946,1.09830,1.09914,11911.1699
02.05.2023 07:00:00.000,1.09915,1.10066,1.09823,1.09855,26323.9395
02.05.2023 08:00:00.000,1.09855,1.09865,1.09598,1.09718,28572.8105
02.05.2023 09:00:00.000,1.09717,1.09817,1.09492,1.09526,23158.2598
02.05.2023 10:00:00.000,1.09526,1.09600,1.09480,1.09569,13914.4404
02.05.2023 11:00:00.000,1.09569,1.09761,1.09568,1.09676,16530.9297
02.05.2023 12:00:00.000,1.09676,1.09705,1.09541,1.09552,19701.7305
02.05.2023 13:00:00.000,1.09552,1.09591,1.09422,1.09434,26428.0898
02.05.2023 14:00:00.000,1.09432,1.09930,1.09431,1.09792,50037.4688
02.05.2023 15:00:00.000,1.09790,1.09975,1.09776,1.09965,29384.5
02.05.2023 16:00:00.000,1.09964,1.10030,1.09940,1.09998,14584.5303
02.05.2023 17:00:00.000,1.09998,1.10035,1.09946,1.09972,8016.4302
02.05.2023 18:00:00.000,1.09974,1.10016,1.09971,1.10011,7538.3999
02.05.2023 19:00:00.000,1.10012,1.10078,1.10003,1.10057,6869.5801
02.05.2023 20:00:00.000,1.10057,1.10068,1.09975,1.09989,2207.9399
02.05.2023 21:00:00.000,1.09989,1.10025,1.09989,1.10003,523.29
02.05.2023 22:00:00.000,1.10013,1.10063,1.10003,1.10063,3363.9399
02.05.2023 23:00:00.000,1.10063,1.10137,1.10048,1.10107,5423
03.05.2023 00:00:00.000,1.10110,1.10204,1.10048,1.10172,6465.27
03.05.2023 01:00:00.000,1.10173,1.10240,1.10128,1.10227,6674.6099
03.05.2023 02:00:00.000,1.10228,1.10258,1.10197,1.10253,6070.9902
03.05.2023 03:00:00.000,1.10252,1.10297,1.10251,1.10294,4622.79
03.05.2023 04:00:00.000,1.10294,1.10294,1.10212,1.10216,6789.9302
03.05.2023 05:00:00.000,1.10217,1.10263,1.10182,1.10200,8777.4102
03.05.2023 06:00:00.000,1.10199,1.10317,1.10142,1.10306,12161.4004
03.05.2023 07:00:00.000,1.10303,1.10411,1.10259,1.10343,20142.0391
03.05.2023 08:00:00.000,1.10344,1.10468,1.10343,1.10395,18806.5195
03.05.2023 09:00:00.000,1.10395,1.10468,1.10365,1.10403,13857.8604
03.05.2023 10:00:00.000,1.10403,1.10404,1.10296,1.10328,14773.6904
03.05.2023 11:00:00.000,1.10329,1.10436,1.10319,1.10395,13604.9297
03.05.2023 12:00:00.000,1.10396,1.10435,1.10220,1.10384,26211.3809
03.05.2023 13:00:00.000,1.10384,1.10434,1.10295,1.10316,27314.3809
03.05.2023 14:00:00.000,1.10316,1.10593,1.10316,1.10527,26598.2695
03.05.2023 15:00:00.000,1.10526,1.10585,1.10478,1.10478,19665.3809
03.05.2023 16:00:00.000,1.10478,1.10528,1.10445,1.10468,9650.25
03.05.2023 17:00:00.000,1.10467,1.10529,1.10416,1.10491,10035.8301
03.05.2023 18:00:00.000,1.10492,1.10916,1.10371,1.10599,76873.1406
03.05.2023 19:00:00.000,1.10600,1.10636,1.10404,1.10544,49688.0781
03.05.2023 20:00:00.000,1.10544,1.10627,1.10515,1.10599,4978.6401
03.05.2023 21:00:00.000,1.10599,1.10660,1.10590,1.10609,1188.04
03.05.2023 22:00:00.000,1.10609,1.10780,1.10607,1.10679,14463.1104
03.05.2023 23:00:00.000,1.10677,1.10727,1.10640,1.10685,7134.6899
04.05.2023 00:00:00.000,1.10686,1.10872,1.10686,1.10757,13220.96
04.05.2023 01:00:00.000,1.10758,1.10841,1.10713,1.10814,15571.7402
04.05.2023 02:00:00.000,1.10816,1.10875,1.10803,1.10840,11647.9805
04.05.2023 03:00:00.000,1.10841,1.10858,1.10802,1.10812,7110.5898
04.05.2023 04:00:00.000,1.10812,1.10873,1.10794,1.10814,7354.3101
04.05.2023 05:00:00.000,1.10814,1.10878,1.10798,1.10839,9493.5
04.05.2023 06:00:00.000,1.10841,1.10917,1.10727,1.10753,23253.2207
04.05.2023 07:00:00.000,1.10754,1.10767,1.10521,1.10578,29310.3203
04.05.2023 08:00:00.000,1.10578,1.10579,1.10369,1.10404,18946.4395
04.05.2023 09:00:00.000,1.10403,1.10560,1.10364,1.10549,17392.5391
04.05.2023 10:00:00.000,1.10549,1.10632,1.10490,1.10605,18691.6504
04.05.2023 11:00:00.000,1.10604,1.10765,1.10601,1.10743,15856.5
04.05.2023 12:00:00.000,1.10743,1.10842,1.10013,1.10093,59707.2695
04.05.2023 13:00:00.000,1.10092,1.10552,1.10026,1.10238,53450.7305
04.05.2023 14:00:00.000,1.10240,1.10382,1.09860,1.10008,51863.5898
04.05.2023 15:00:00.000,1.10007,1.10137,1.09952,1.10082,34364.5117
04.05.2023 16:00:00.000,1.10083,1.10304,1.10079,1.10246,21672.4199
04.05.2023 17:00:00.000,1.10248,1.10315,1.10204,1.10216,14358.0996
04.05.2023 18:00:00.000,1.10215,1.10225,1.10112,1.10158,9401.21
04.05.2023 19:00:00.000,1.10157,1.10199,1.10134,1.10146,7085.4902
04.05.2023 20:00:00.000,1.10145,1.10154,1.10100,1.10120,3770.47
